,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
0,-1.7167702475595916,2.8333719697645874,2.4927451195368557,3.8747480984494747,5.710553079358062,5.712111360485642,1
1,0.04085017150281574,0.765199769368412,1.5920519277120504,3.2472168472436715,5.525920359911583,4.607453673023259,1
2,0.04085017150281574,1.5858150124210502,0.9049516928056989,4.5248930884374685,4.664301002494678,6.938862792351763,1
3,-1.199823065482413,0.975898277719765,3.3085158104181795,3.603383233063181,4.848933721941158,5.496993810821915,1
4,-1.199823065482413,0.975898277719765,3.457773539349147,3.8295206208850923,4.664301002494678,6.39816192427807,1
5,1.2815234084880445,0.4214285189004149,0.9486996478371894,2.263519210218359,5.176349077759581,4.39815011118828,0
6,1.2815234084880445,0.4214285189004149,1.0773701038121615,1.9808474754409697,5.156654921018624,4.101636731922062,0
7,1.2815234084880445,0.4214285189004149,1.0773701038121615,1.9808474754409697,5.218199160834117,4.142334646723308,0
8,1.2815234084880445,0.4214285189004149,1.2703757877746198,2.223945167349524,4.972022201572145,4.142334646723308,0
9,1.2815234084880445,0.4214285189004149,1.3990462437495919,2.223945167349524,4.787389482125665,4.101636731922062,0
10,1.2815234084880445,0.4214285189004149,1.463381471737078,2.263519210218359,4.848933721941158,4.433034038160777,0
11,1.2815234084880445,0.4214285189004149,1.3990462437495919,2.223945167349524,4.848933721941158,4.264428391127044,0
12,1.316675816869293,0.4047944261358344,1.1417053317996477,2.223945167349524,5.0138722846466806,4.124892683237059,0
13,1.2815234084880445,0.4214285189004149,1.0773701038121615,1.9808474754409697,4.972022201572145,4.142334646723308,0
14,1.2815234084880445,0.4214285189004149,1.0773701038121615,1.9808474754409697,4.930172118497609,4.5783837338795115,0
15,-1.6650755293518738,1.729977149714081,3.5221087673366336,3.2754840207214104,5.9567300386200355,5.363272090760679,1
16,-0.9413494744438237,2.6060393686486547,1.3347110157621058,4.208300745486794,5.772097319173556,4.892339076631979,1
17,0.24762904433368718,0.765199769368412,1.3347110157621058,3.642957275932016,5.033566441387638,4.892339076631979,1
18,-0.11423398312033785,1.9573097508300146,0.17667691198735613,6.2209234971018015,5.095110681203131,5.276062273329439,1
19,-1.9752438385981808,1.5248233389509216,3.200432627399203,4.762337345650475,4.19164124071169,6.903978865379267,1
20,-1.561686092936438,0.38261563578306035,2.5570803475243418,3.8295206208850923,5.218199160834117,7.374911879507967,1
21,-1.561686092936438,1.3473930161287295,2.8787564874617724,4.276141961833366,5.3412876404651035,5.985368788436864,1
22,-1.6650755293518738,3.570816748994323,2.235404207586911,4.649268651739519,5.772097319173556,5.613273567396902,1
